區域,里別,日期,星期,集合時間,集合地點,緯度,經度,鎖匠,警員,刑警,噴工數,支援人力
中西區,三合里,08月16日,日,13:45,台南市中西區忠孝街78巷,22.9997066,120.1973355,1,1,1,6,12
善化區,北關里,08月16日,日,13:45,台南市善化區三民路,23.125754,120.2851557,2,2,2,5,0
北區,正覺里,08月16日,日,14:00,台南市北區公園路,23.0068369,120.2100531,0,0,0,2,0
安平區,國平里,08月17日,一,08:30,台南市安平區建平七街,22.9893009,120.175365,1,1,1,2,0
安南區,原佃里,08月17日,一,08:30,台南市安南區本原街一段97巷,23.0487154,120.1985669,1,1,1,6,10
北區,正覺里,08月17日,一,08:30,台南市北區正覺街,23.0171466,120.2127467,4,4,4,18,36
善化區,光文里,08月17日,一,08:45,台南市善化區信義街,23.0749858,120.2897068,2,2,2,5,0
永康區,大橋里,08月17日,一,08:45,台南市永康區大橋一街139巷,23.0189356,120.2291647,1,1,1,3,2
永康區,復國里,08月17日,一,08:45,台南市永康區復華一街,23.0054059,120.2437886,1,1,1,3,2
東區,東光里,08月17日,一,08:50,台南市東區怡東路,22.9928271,120.2280077,1,1,1,12,24
安平區,海頭里,08月17日,一,13:30,台南市安平區安北路121巷15弄,23.0019235,120.1638985,1,1,1,5,5
安南區,安富里,08月17日,一,13:30,台南市安南區安富街245巷,23.0258569,120.1959604,1,1,1,7,12
北區,六甲里,08月17日,一,13:30,台南市北區公園路758巷,23.0104919,120.2120262,4,4,4,12,24
北區,延平里,08月17日,一,13:30,台南市北區公園路758巷,23.0104919,120.2120262,1,1,1,6,12
安平區,海頭里,08月17日,一,13:30,台南市安平區安北路121巷15弄,23.0019235,120.1638985,1,1,1,5,5
善化區,什乃里,08月17日,一,13:45,台南市善化區什乃里,23.144704,120.2815587,2,2,2,5,0
永康區,二王里,08月17日,一,13:45,台南市永康區南工街226巷1弄,23.0141216,120.2389922,1,1,1,3,2
永康區,五王里,08月17日,一,13:45,台南市永康區五福街110巷,23.0128049,120.2349439,1,1,1,3,0
東區,後甲里,08月17日,一,13:50,台南市東區裕農路571巷2弄,22.9885518,120.2346376,1,1,1,13,24
麻豆區,南勢里,08月18日,二,08:30,台南市麻豆區南勢里,23.1950148,120.2656955,,,,3,0
新營區,新東里,08月18日,二,08:30,台南市新營東仁街,23.3173874,120.3280503,,,,3,0
北區,文元里,08月18日,二,08:30,台南市北區文成三路,23.0162011,120.2024877,4,4,4,20,40
安平區,國平里,08月18日,二,08:30,台南市安平區建平七街,22.9893009,120.175365,1,1,1,5,0
永康區,甲頂里,08月18日,二,08:45,台南市永康區大武街,23.0200098,120.2225547,1,1,1,3,0
中西區,三合里,08月18日,二,08:45,台南市中西區信義街,23.0001046,120.1955084,2,2,2,11,20
安南區,海佃里,08月18日,二,08:50,台南市安南區國安街156巷102弄,23.0248456,120.1881086,1,1,1,8,14
仁德區,仁愛里,08月18日,二,09:00,台南市仁德區大同路三段456巷26弄,22.952425,120.2180635,1,1,1,4,0
永康區,永康里,08月18日,二,13:45,台南市永康區永康街,23.0231777,120.2585997,1,1,1,5,4
安南區,海南里,08月18日,二,13:50,台南市安南區府安路七段93巷,23.0116252,120.1789286,1,1,1,8,14
中西區,民生里,08月18日,二,13:45,台南市中西區永華路一段,22.9891002,120.1870228,2,2,2,8,16
南區,文華里,08月18日,二,13:45,台南市南區德南街,22.9868104,120.188318,1,1,1,6,12
北區,勝安里、中樓里、振興里,08月18日,二,13:30,台南市北區區開元路,23.0076695,120.2208365,7,7,7,29,58
柳營區,東昇里,08月18日,二,13:30,台南市柳營區柳營路二段,23.2814114,120.3118703,1,1,1,3,2
柳營區,士林里,08月18日,二,13:30,台南市柳營區柳營路二段,23.2814114,120.3118703,,1,,2,2
北區,實踐里、小康里,08月19日,三,08:30,台南市北區北區實踐街,23.0130868,120.2201009,6,6,6,23,46
永康區,安康里,08月19日,三,08:45,台南市永康區中華路703巷3弄,23.0164067,120.2279859,1,1,1,3,8
永康區,甲頂里,08月19日,三,08:45,台南市永康區中正南路52巷46弄,23.0197137,120.2177941,1,1,1,4,8
南區,白雪里,08月19日,三,08:45,台南市南區鹽埕路103巷38弄,22.966027,120.1872825,3,3,3,13,26
善化區,田寮里,08月19日,三,08:45,台南市善化區田寮里,23.1478822,120.3046289,1,2,2,3,0
安南區,大安里,08月19日,三,08:50,台南市安南區理安街,23.0328821,120.1944642,1,1,1,7,14
東區,東門里,08月19日,三,08:50,台南市東區區東榮街115巷,22.9886071,120.2152795,1,1,1,10,20
南區,明亮里,08月19日,三,13:45,台南市南區金華路一段352巷34弄,22.9692271,120.191935,2,2,2,9,18
